"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2048823420977119727","2026-04-27T17:55:43.000Z","DeRonin_","Ronin","The Most Comprehensive Codex tutorial on the internet right now

even OpenAI's own team said it's one of the best

in under 2 hours you'll learn how to use Codex + GPT-5.5 (imo the strongest combo available right now)

from skill and plugin setup, to automated workflow building, to multi-threading practical demos

if you're looking for the best practices for vibe coding, this is the one to watch

big shoutout and respect to @rileybrown","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","276","2469","45","10","5097","217968","true","video","https://pbs.twimg.com/amplify_video_thumb/2048822807593639937/img/g_iH396IVO8ADRYF.jpg","https://video.twimg.com/amplify_video/2048822807593639937/vid/avc1/1920x1080/NvSdTf90AzeRCPu_.mp4?tag=21","6193","https://pbs.twimg.com/amplify_video_thumb/2048822807593639937/img/g_iH396IVO8ADRYF.jpg","2048823420977119727",,,,,,
"original","2033636057690800452","2026-03-16T20:06:33.000Z","reach_vb","Vaibhav (VB) Srivastav","http://x.com/i/article/2033608358494617600","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","38","518","27","19","738","300967","false","none",,,,,"2033636057690800452",,,,,,
"quote","2049527486124560491","2026-04-29T16:33:25.000Z","aiDotEngineer","AI Engineer","Full Workshop: @OpenAI Codex masterclass

The agent is no longer just one chat window. In this workshop, @reach_vb and @kagigz get into how coding systems start to change when you can delegate work across subagents, split tasks up, and manage more context than a single thread can comfortably hold.

If you're trying to understand where the next generation of coding agents is going, this is a useful look at the shape of that future from inside @OpenAI!

Full Workshop: https://youtube.com/watch?v=MhHEGMFCEB0","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","95","875","23","4","1308","161633","true","photo","https://pbs.twimg.com/media/HHFiU17akAUrsiO.jpg",,,"https://pbs.twimg.com/media/HHFiU17akAUrsiO.jpg","2049527486124560491",,,,"2033636057690800452","874987512850128897",
"original","2049285752866107856","2026-04-29T00:32:52.000Z","rileybrown","Riley Brown","Learn 95% of Codex in 28 minutes

These are the 7 knowledge work capabilities...
inside Codex, the super-app

00:00 Intro
02:19 Capability 1 - Full File Access
07:41 Capability 2 - Persistent Memory
10:46 Capability 3 - Plugins
13:52 Capability 4 - Skills
19:22  Capability 5 - GPT Image Access
21:03 Capability 6 - Browser and Computer Use
23:58 Capability 7 - Automations
25:31 Bonus Feature - Chronicle
27:21 Summary","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","470","4584","114","69","9664","958442","true","video","https://pbs.twimg.com/amplify_video_thumb/2049284173408710656/img/ZqpWmpuHmizPtVJT.jpg","https://video.twimg.com/amplify_video/2049284173408710656/vid/avc1/2560x1440/2upwXSvL19bEGucg.mp4?tag=21","1728","https://pbs.twimg.com/amplify_video_thumb/2049284173408710656/img/ZqpWmpuHmizPtVJT.jpg","2049285752866107856",,,,,,
"original","2056377707819421873","2026-05-18T14:13:45.000Z","cjzafir","CJ Zafir","Codex 5.5 use cases I found so far:

> made my internet faster
> made my local 6B SLM 3x faster
> made my macbook pro faster like new
> made a lightweight suite to write & test metal kernals
> made a skill to communicate with claude code in realtime
> made a pipeline to generate SFT dataset using Deepseek v4
> made a computer use workflow to fine tune models in Google Colab
> made 4 routines to test workflows on autopilot 3 times/day","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","285","6938","86","48","12958","3313378","false","none",,,,,"2056377707819421873",,,,,,
"original","2055718860108783838","2026-05-16T18:35:44.000Z","rileybrown","Riley Brown","If you want to get started using Codex here are my last 5 videos:  

Video 1: Learning 95% of Codex in 28 min 
(Knowledge Work Guide)
https://x.com/rileybrown/status/2049285752866107856/video/1?s=46

Video 2: Codex Complete Guide 
(1hr 44 min, most comprehensive)
https://x.com/rileybrown/status/2046039543468724238/video/1?s=46

Video 3: Set up Codex Mobile
(Connect ChatGPT app to Codex Desktop)
https://x.com/rileybrown/status/2055093278161428726/video/1?s=46

Video 4: Vibe Coding with Codex
(How to build apps, replace Lovable, Replit etc)
https://x.com/rileybrown/status/2052440152765796677/video/1?s=46

Video 5: Motion Graphic Videos with Codex
(Remotion full guide - launch videos + overlay)
https://x.com/rileybrown/status/2047813013395427587/video/1?s=46","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","62","495","22","8","776","37160","true","photo","https://pbs.twimg.com/media/HIdgwAdboAAg_P6.jpg",,,"https://pbs.twimg.com/media/HIdgwAdboAAg_P6.jpg","2055718860108783838",,,,,,
"quote","2055238100079808996","2026-05-15T10:45:22.000Z","Av1dlive","Avid","Cursor pays engineers $1,100,000 a year to run teams of AI agents that ship code while they sleep.

[The CEO of Cursor explained in 9 minutes how they ship at 100x speed using team of agents]

↓ Save this before everyone copies the playbook

1. Engineers no longer babysit one assistant. They manage dozens of agent colleagues working in parallel, each on its own remote machine

2. Validation contract before code, not after. Humans only at scoping and review.

3. The agent team handles the full loop : planning, coding, testing, shipping PRs with each agent specialised for a role.

Watch the guide. Then read the guide below by @eng_khairallah1","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","213","2445","98","16","6665","627034","true","video","https://pbs.twimg.com/amplify_video_thumb/2055237607102275584/img/H4NmAUz6Dh-Ed08r.jpg","https://video.twimg.com/amplify_video/2055237607102275584/vid/avc1/1920x1080/tjoSX7bdWLttk-kj.mp4?tag=27","577","https://pbs.twimg.com/amplify_video_thumb/2055237607102275584/img/H4NmAUz6Dh-Ed08r.jpg","2055238100079808996",,,,"2055215784092401966",,
"original","2055093278161428726","2026-05-15T01:09:53.000Z","rileybrown","Riley Brown","OpenAI released Codex Mobile App
Directly on ChatGPT

Here's everything you need to know:
1. How to set it up
2. How to fully vibecode from Codex Mobile
3. How to control your computer with Codex Mobile

00:00 Setting Up Codex Mobile on @ChatGPTapp 
02:15 Changing Settings - Chats First
03:01 Voice Mode
04:05 Plugins and Skills
05:07 Notifications and Permissions
06:52 Flaws of Vibe Coding Out of the Box
07:13 Vibe Coding Skill (Yolo Mode w @vercel)
10:28 Using ChatGPT app as Full Vibe Coding Platform
12:15 Using ChatGPT to Control my computer
13:33 Where I put  all my Agent Skills @chorusskills","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","57","716","45","11","788","90920","true","video","https://pbs.twimg.com/amplify_video_thumb/2055093021218308096/img/FR7aK6dpQOvSzs2H.jpg","https://video.twimg.com/amplify_video/2055093021218308096/vid/avc1/1920x1080/6r3RsSR8ndxli8t-.mp4?tag=27","861","https://pbs.twimg.com/amplify_video_thumb/2055093021218308096/img/FR7aK6dpQOvSzs2H.jpg","2055093278161428726",,,,,,
"original","2028955292025962534","2026-03-03T22:06:52.000Z","Kangwook_Lee","Kangwook Lee","http://x.com/i/article/2028952607256170496","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","303","2559","39","36","5557","1012420","false","none",,,,,"2028955292025962534",,,,,,
"quote","2028956112737775684","2026-03-03T22:10:08.000Z","DimitrisPapail","Dimitris Papailiopoulos","Holy smokes. What??? “Investigating” is putting it lightly","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","87","1690","10","0","2935","413938","false","none",,,,,"2028956112737775684",,,,"2028955292025962534","57182201",
