"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2078944033838116876","2026-07-19T20:44:17.000Z","MiaAI_lab","Mia","I'm open-sourcing sparkDash ⚡️

- Real-time monitoring for your DGX Sparks 
- Add your sparks from the UI
- vLLM / llama.cpp / SGLang real-time tok/s
- Mobile-friendly

Built 100% with DeepSeek V4 Flash running locally.

Let me know what you think 🫶

→ https://github.com/MiaAI-Lab/sparkDash","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","43","461","47","9","367","44337","true","photo","https://pbs.twimg.com/media/HNng4ZGWEAAlWSq.jpg",,,"https://pbs.twimg.com/media/HNng4ZGWEAAlWSq.jpg","2078944033838116876",,,,,,
"original","2080056638820450400","2026-07-22T22:25:22.000Z","jack","jack","http://x.com/i/article/2080052071097663488","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","559","5459","296","301","7705","2884427","false","none",,,,,"2080056638820450400",,,,,,
"quote","2080518147480904008","2026-07-24T04:59:15.000Z","tonbistudio","tonbi","Buzz is a really cool open-source app that allows communities and teams to share a space with their agents, and even share compute!

I made a quick video guide to get this installed, set up, and start chatting with your agent in a shared space. Lots more to explore!

Also, check out these DGX Spark/GB10 and Hermes Agent communities!
https://dgx-spark-gb10.communities.buzz.xyz/invite/eyJjIjoiMjM3YzQxMDEtNzAwNy00YWZiLTlmMTAtOTE0NTUxYTcwZDM0IiwiciI6Im1lbWJlciIsImUiOjE3ODUxMTA4ODEsIm4iOiItRVJaVVVMNmhuYlRFeHJwNjlJZHdRIn0.TyzcJjqgAxU7RNkRwDg7wp-ImwK0Y0PK6CTBOatBPPU
https://hermesagent.communities.buzz.xyz/invite/eyJjIjoiZjk1ZGM5ZTgtOWYzMC00ZDQyLThmNjAtNzYyZWY1MGUwMzMzIiwiciI6Im1lbWJlciIsImUiOjE3ODUxMTYyMTAsIm4iOiJmTmtaYnhWVVRUbmwzamJhcS1kVEl3In0.GV6hb9Vmlj7hSJ4vXHen3Hpufj0CzpF5LVNNabmavbo","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","26","280","13","4","309","49278","true","video","https://pbs.twimg.com/amplify_video_thumb/2080517133768040449/img/UoJZ4K03j1o3YWZz.jpg","https://video.twimg.com/amplify_video/2080517133768040449/vid/avc1/1920x1080/lTAFXvOYRbXW5WeE.mp4?tag=29","343","https://pbs.twimg.com/amplify_video_thumb/2080517133768040449/img/UoJZ4K03j1o3YWZz.jpg","2080518147480904008",,,,"2080056638820450400","12",
"quote","2079979538902302837","2026-07-22T17:19:00.000Z","witcheer","witcheer","for anyone that likes the Remote-SSH feature in VS Code: Hermes Desktop now does the same thing for your agent :)

pick any host you already have SSH access to and the app starts Hermes on it, tunnels it back, and your chats, files, sessions and integrated terminal all run on the remote machine. 

hosts from your `~/.ssh/config` show up in a dropdown, and every client-remote OS combination works.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","5","98","11","1","88","19202","true","photo","https://pbs.twimg.com/media/HN2SLAva8AEBIPv.jpg",,,"https://pbs.twimg.com/media/HN2SLAva8AEBIPv.jpg","2079979538902302837",,,,"2079974657646563474",,
"quote","2080373350829064435","2026-07-23T19:23:52.000Z","tonbistudio","tonbi","This was kind of overlooked, but if you ssh into other devices and run Hermes there, Connect via SSH function in the Desktop App is really convenient, especially since I'm working with my DGX Spark a lot now. 

I made a very quick video showing how to set this up. Check it out!","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","15","142","10","1","147","11240","true","video","https://pbs.twimg.com/amplify_video_thumb/2080371589900800001/img/68OpN_wG5ClJHuJ2.jpg","https://video.twimg.com/amplify_video/2080371589900800001/vid/avc1/1920x1080/dMLVPPFwrJB2C4M-.mp4?tag=29","196","https://pbs.twimg.com/amplify_video_thumb/2080371589900800001/img/68OpN_wG5ClJHuJ2.jpg","2080373350829064435",,,,"2079979538902302837","1452919031846117384",
"original","2070859135399182444","2026-06-27T13:17:47.000Z","MiaAI_lab","Mia","What’s the best model you can run on your @NVIDIAAI DGX Spark?

1× DGX Spark
* ⁠Qwen 3.6 35b NVFP4 - 256k ctx, 110 tok/s
* DeepSeek v4 Flash REAP
* ⁠Qwen 3.6 27b - 256k ctx 19, tok/s

2× DGX Sparks ← sweet spot!
* DeepSeek v4 Flash - 1M ctx, 40-45 tok/s
* Step-3.7-Flash - 256k ctx, image support, 30 tok/s

4× DGX Sparks
* GLM 5.2 NVFP4 on all 4
* 2× DeepSeek v4 Flash setups, each on 2× DGX Sparks.

Links and repos below 👇","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","63","737","75","15","642","71058","true","photo","https://pbs.twimg.com/media/HL0q9WbXYAE1ea-.jpg",,,"https://pbs.twimg.com/media/HL0q9WbXYAE1ea-.jpg","2070859135399182444",,,,,,
"original","2083448647908569321","2026-08-01T07:04:00.000Z","bleysg","Bleys Goodson","⚡ If you have or want a DGX Spark, this post might be the most important one you come across this month. 

Serve the BEST model available (DeepSeek V4 Flash 07-31, 284B parameters) on ONE Spark @ 1,000 tok/s prefill, 59 tok/s multi-agent serving. One command to install. 🧵","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","51","422","47","47","549","111881","true","photo","https://pbs.twimg.com/media/HOnjKYsagAAF2b-.jpg",,,"https://pbs.twimg.com/media/HOnjKYsagAAF2b-.jpg","2083448647908569321",,,,,,
"quote","2083231049434435596","2026-07-31T16:39:21.000Z","UnslothAI","Unsloth AI","DeepSeek V4 Flash 0731 can now be run locally! 🐳

Run DeepSeek V4 Flash lossless 4-bit on 168GB RAM and 3-bit on 110GB RAM.

V4 Flash 0731 outperforms V4 Pro. Run via Unsloth or llama.cpp. Smaller quants coming today.

Guide: https://unsloth.ai/docs/models/deepseek-v4
GGUF: https://huggingface.co/unsloth/DeepSeek-V4-Flash-0731-GGUF","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","425","3342","149","98","1051","432982","true","photo","https://pbs.twimg.com/media/HOkfiGraYAAxGnW.jpg",,,"https://pbs.twimg.com/media/HOkfiGraYAAxGnW.jpg","2083231049434435596",,,,"2083084415157022911",,
"quote","2083704720833847754","2026-08-02T00:01:33.000Z","sudoingX","Sudo su","unsloth says you can run deepseek v4 flash 0731 locally. i put the full 284b on a single dgx spark. and i'll be straight with the other spark owners, it did not just work.

the ""3bit fits in 110gb"" line has an asterisk. the q3_k_xl and the q3_k_m are both a full 128gb, and both OOM the moment you load them fully on the gpu. the 128gb box only gives you around 121gb of usable vram and the desktop eats into that, i watched it try to grab 127gb and die.

i had to walk down the quant ladder to iq3_xxs at 104gb before the whole model sat on the gpu with zero offload. that's the one that actually fits. anything bigger either OOMs or forces layers onto the cpu and drags the whole thing to a crawl.

but it's sitting there now. 284 billion parameters, fully resident on my dgx spark. i'm holding the speed numbers, they deserve their own drop. next is the real battery, decode speed, context scaling, and quality, all run in the open.

spark owners, the exact quant that fits and the full setup are in the reply below👇","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2","26","8","0","14","2461","true","photo","https://pbs.twimg.com/media/HOrOZOrbQAArxsa.png",,,"https://pbs.twimg.com/media/HOrOZOrbQAArxsa.png","2083704720833847754",,,,"2083231049434435596","1730159888402395136",
"original","2083645342277599312","2026-08-01T20:05:36.000Z","MiaAI_lab","Mia","Rejoice single DGX Spark owners! 💫

DeepSeek v4 Flash for single DGX Spark BEATS the 2x DGX Spark version on agentic workflows!  🤯🤯

Haven't done full coding tests but for agentic workflows it BEATS the FP8 version running on vLLM running on dual DGX Sparks. I fully expect it to be great at coding too!

However, it's much slower, as expected:

Aggregate tok/s (1-2-4-6-8-12)
26.7 tok/s → 32.9 → 46.5 → 54.1 → 58.5 → 58.5 tok/s

Per-stream progression:
26.7 → 16.5 → 12.1 → 9.5 → 7.7 → 5.2 tok/s

That means up  to 59 tok/s across 12 concurrent sessions.

This is the best model to run on a single DGX Spark! All credits go to @bleysg!

I have published a simple start/stop recipe:
https://github.com/MiaAI-Lab/DeepSeek-v4-Flash-One-DGX-Spark

I still recommend running DeepSeek v4 Flash on 2x DGX Sparks because the speed difference about 3x.

Additional details below 👇","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","48","409","47","17","264","21966","true","photo","https://pbs.twimg.com/media/HOqYZJTWkAAs8P0.jpg",,,"https://pbs.twimg.com/media/HOqYZJTWkAAs8P0.jpg","2083645342277599312",,,,,,
